STARTUP;STARTUP WEBSITE;IDOFFRE;POSTE;CONTRAT;SALAIRE;DIPLOME;EXPERIENCE;TRAVAIL;DESCRIPTION
Kofola;https://www.kofola.cz/;921;Technológ v potravinárskej výrobe Kláštor pod Znievom;CDI ;;Bac +5 / Master;> 1 an;;"Náplň práce, právomoci a zodpovednosti

Do nášho tímu kvality hľadáme posilu, ktorá sa nebojí nových výziev a bude plnohodnotným členom nášho stáleho tímu. Ak máš VŠ potravinárskeho zamerania, systém HACCP Ti nie je cudzí a Tvojou hlavnou devízou je chuť sa neustále učiť a zlepšovať sa v odbore, určite nám daj o sebe vedieť.
Náplň práce je rôznorodá, no určite môžeme zaručiť dennodennú rutinu činností ako napr.:
• laboratórne analýzy, zabezpečenie kvality výrobkov z pohľadu technologického návrhom vhodných opatrení
• návrh, realizácia a kontrola parametrov technologických procesov pri výrobe balenej vody
• plánovanie a kontrola sanitácie technológií
• zabezpečenie úpravy vody

Zamestnanecké výhody, benefity

Čo Ti môžeme ponúknuť?

pracovný kontrakt na TPP v trvaní jedného roka a následne v prípade spokojnosti možnosť predĺženia
jednozmenný pracovný režim PO-PIA 7.00 - 15.30
možnosť byť súčasťou úspešnej stabilnej spoločnosti na trhu s množstvom benefitov zo SF: príspevok na dopravu do zamestnania (podľa počtu km), spoločenské akcie pre zamestnancov 2 x ročne, príspevok na rekreáciu aj mimo zákona, pitný režim, zájazdy pre zamestnancov, darovanie krvi, odmena pri pracovnom alebo životnom jubileu a iné…
motivujúce finančné ohodnotenie v závislosti od seniority
mimoriadne odmeny
práca s modernými výrobnými technológiami v potravinárskej výrobe
pracovný odev, obuv a ochranné pracovné prostriedky
zabezpečíme a uhradíme všetky periodické školenia pre výkon práce"
Kofola;https://www.kofola.cz/;922;Procesní inženýr(ka) - Mnichovo Hradiště;CDI ;;Bac +4;;;"Co u nás budeš dělat?

Budeš optimalizovat výrobní i nevýrobní procesy, s cílem zvyšovat jejich efektivitu. Tvým nástrojem bude systém Lean Management. Každý závod skupiny Kofola, i v zahraničí, má svého procesního inženýra a všichni dohromady tvoříte jeden tým.

Co pro Tebe máme my?
Pět týdnů dovolené
Příspěvek na dopravu
Občerstvení na pracovišti, dobroty z Kofoly
Bonusy a odměny za inovace
Společné firemní akce
Bezpečné, příjemné a čisté pracovní prostředí"
Calimed Santé;https://www.calimed-sante.fr/;923;Développeur Full-stack JS;CDI ;;> 3 ans;;Télétravail partiel possible;"Dans le cadre de la mise à disposition imminente d’un applicatif e-santé innovant, nous recherchons un développeur Fullstack JS expérimenté.

L’ambition du service est de venir révolutionner l’engagement du patient dans son parcours de soin, notamment grâce à son consentement éclairé en ligne, et la gestion de tout type de formulaire.

Le produit, tout proche de sa commercialisation, a été développé essentiellement en externe.
Afin de réinternaliser les compétences, vous serez en charge du maintien et du développement continu de cette application, en étant force de proposition quant à ses futures évolutions.

Le poste est basé à Marseille.

Vos principales missions seront :
• Assurer le développement des interfaces
• Intégrer des composants pensés par l’équipe créative
• Elaborer des composants
• Améliorer l’expérience utilisateur
• Optimisation et maintenance du projet
• Être partie prenante et force de proposition"
appvizer;https://www.appvizer.fr/;924;Stage Product Owner / Web Project Manager (4 à 12 mois - démarrage entre 11/20 et 02/2021);Stage (4 à 12 mois);;Bac +4;> 6 mois;Télétravail total possible;"Mission

Vous intégrerez le service #Product de 5 personnes en tant que Product Owner / Web Project Manager (stagiaire responsable produit / chef de projet web).

Vous aiderez le Product Owner dans sa conception et sa priorisation des développements de la plateforme web Appvizer.

Vos fonctions d’assistance auprès du Product Owner seront les suivantes :

Traduire les expressions de besoin des métiers en spécifications fonctionnelles et techniques.
Maximiser la valeur du produit lors des phases de développement avec une gestion de projet agile.
Faciliter les activités de suivi de projet, de capitalisation des connaissances et de support de proximité avec les équipes métiers et ingénierie.

Vous ferez partie d’une équipe dynamique et enthousiaste dans un environnement de travail à la fois exigeant, stimulant et agile où le bien-être de chaque collaborateur est une valeur forte.

Rigoureux.se, méthodique et créatif.ve, votre esprit fourmille de nouvelles idées que vous aimez partager et argumenter avec toute l’équipe. Attiré.e par l’aventure d’une entreprise en hyper-croissance déjà labellisée à deux reprises par le Pass French Tech, vous faites preuve d’intérêt pour le webmarketing, le métier de business analyse, la gestion de projet, les méthodes agiles et les solutions digitales de demain.

Vous avez l’envie d’apprendre des autres dans un contexte international, vous avez de l’ambition mais aussi de l’humilité ? Rejoignez-nous ! L’aventure crée des liens.

Rémunération et avantages
Gratification de stages
Conditions de travail

Appvizer vous offre des conditions de travail idéales :

Espace de travail lumineux et propice au team buiding
Bureaux ergonomiques assis-debout
Matériel digital et de communication high-tech
Café, boissons et fruits à volonté
Espace de détente et de vie en commun (cuisine, douche…)
Démarche RSE

Chez Appvizer, nous nous engageons à faire évoluer les mentalités avec des actions concretes pour la protection de l’environnement à l’échelle de l’entreprise.

Nous agissons avec des actions de tri et de compostage pour réduire nos déchets. Nous consommons une énergie verte 100% renouvelable et utilisons uniquement des produits éco-responsables pour l’entretien de nos bureaux."
Thales;https://www.thalesgroup.com/fr;925;Senior IVVQM;CDI ;;;;;"QUI SOMMES-NOUS ?

“QUI ETES-VOUS?”
Diplômé/e d’une école d’ingénieur ou équivalent bac+5 spécialisé/e en informatique, vous avez au moins 5 ans d’expérience sur un poste de Test avec de fortes compétences en Automatisation ?
Vous avez une bonne connaissance des méthodes de validation (rédaction des cahiers de charges, plan d’essai de validation, développement d’outils de tests de charge standard) ?
Vous êtes à l’aise avec la plateforme Unix / Lunix avec de bonnes compétences en SQL et la capacité à comprendre les spécificités et l’architecture des logiciels ?
Expérimenté/e sur MongoDB et la technologie Cloud (AWS) vous avez des compétences en programmation Java et Python (Node.js est un plus) en mode Agile ?
Vous avez une expérience des outils d’automatisation des essais et des logiciels de gestion  avec une expertise en SoapUI & JMeter et des competences REST & WEB services ?
Vous êtes Senior/e en cryptographie (compréhension des algorithmes, spécifications, DES, Triple DES, AES, RSA, PKCS7, Padding, ICP, etc…), avec une expérience avec JIRA / Xray et Splunk ?
Vous êtes reconnu/e pour votre esprit d’équipe et d’analyse et votre soif d’apprendre ?
Orienté/e client et service, vous avez un bon relationnel avec une grande ouverture d’esprit ?
Autonome, créatif/ve et rigoureux/se, vous savez travailler en situation de stress ?
Vous n’êtes pas opposé/e aux déplacements ponctuels ?
Vous parlez parfaitement anglais ?
Vous vous reconnaissez ? Alors vous avez de bonnes chances de vous épanouir dans nos équipes !
« CE QUE NOUS POUVONS FAIRE ENSEMBLE »
L’organisation Paiement Digital de Thales DIS recherche un profil IVVQ Manager pour enrichir son équipe en charge de la création et de le livraison de solutions de paiement digital pour ses clients (banques, commerçants, etc…) dans le monde entier pour véritablement diriger la stratégie IVVQ dans le respect des procédures.
Les Responsabilités du poste sont :
Conception de plans de tests basés sur des exigences fonctionnelles
Rédaction et réalisation de tests manuels et automatisés de la solution
Analyse des problèmes, enregistrement et vérification des bugs corrigés
Rapport régulier sur les résultats des tests en cours, rédaction du rapport final et présentation
Travail en collaboration avec le Manager Technique pour analyser les exigences des clients et prévoir la qualité ainsi que les risques
Support aux clients

Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
Thales;https://www.thalesgroup.com/fr;926;Ingénieur.e en photonique intégrée pour la génération de formes d'onde et le traitement du signal (F/H) STAGE;Stage ;;;;;"QUI SOMMES-NOUS ?

Situé sur le campus de l’École polytechnique, au cœur du pôle scientifique et technologique d’envergure mondiale de Paris-Saclay, le site de Palaiseau regroupe les activités de Thales Research & Technology (TRT), le centre de recherche du Groupe, et de ThereSIS (THALES European REsearch center for Security & Information Systems) au service des activités mondiales du Groupe. Grâce à une politique de partenariat proactive avec le monde académique et un réseau international d’entreprises innovantes, nos équipes de recherche de TRT développent des technologies de rupture et celles de ThereSIS sont dédiées à la sécurisation des systèmes d’information, à l’ingénierie des systèmes complexes et aux technologies innovantes de la transformation numérique afin d’obtenir rapidement des résultats répondant à des demandes opérationnelles concrètes.

Dans ce cadre nous recherchons un.e :

Ingénieur.e en Photonique intégrée pour la génération de formes d’onde et le traitement de signal (H/F)

STAGE de 5 mois et demi
Basé.e à Palaiseau (91)

QUI ETES-VOUS ?

Etudiant.e en école d’Ingénieur.e ou formation équivalente vous préparez un Master 2 en optique et photonique ?

Vous avez acquis grâce à votre formation des connaissances en optique guidée et en physique des lasers ?

Gros plus, si vous avez également des connaissances en programmation (Python/ Arduino/ Raspberry PI) et en traitement du signal ?

Vous êtes curieux.se, raison qui vous pousse à réaliser votre stage dans le monde de la recherche ?

Vous aimez travailler en équipe ?

Enfin, vous souhaitez évoluer dans un milieu international et de ce fait parler couramment anglais (Niveau B2 – C1 attendu) ?

Vous vous reconnaissez ? Alors découvrez vite vos futures missions :)

CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :

Ce stage s’inscrit principalement dans le cadre d’un projet européen, dont l’objectif est d’exploiter les technologies de photonique intégrée (sur plateformes Silicium, Nitrure de silicium et InP) pour la génération de signaux hyperfréquence. En particulier, un des objectifs est la réalisation d’un laser à verrouillage de modes tout intégré, constitué d’un milieu à gain InP abouté à une cavité externe en Nitrure de Silicium.

Vous serez amené.e à  coupler ces 2 puces photoniques active et passive, et déterminer la meilleure option pour le circuit passif. Un autre module aura pour but d’isoler des raies optiques du laser à verrouillage de mode pour la réalisation d’une fonction de conversion de fréquence RF. Pour réaliser cette fonction, des circuits photoniques sont aujourd’hui en cours de fabrication, et devront être assemblés et évalués. Ces circuits intègrent en particulier des filtres optiques accordables de grande finesse qu’il faudra caractériser et programmer.

Votre travail devra permettre de réaliser la source intégrée à verrouillage de modes en alignant les circuits photoniques InP (actif) et SiN (passif) au moyen d’un banc existant au laboratoire (des connaissances en Python pourraient être utiles à l’automatisation de certaines fonctions du banc).

De plus, la puce passive comporte plusieurs variations de circuits passifs qu’il conviendra d’évaluer, en caractérisant les performances du laser (en bruit de phase notamment).

Votre étude, permettra ainsi de sélectionner le design définitif du circuit passif.

Vous aurez également pour mission, la caractérisation d’un filtre optique intégré accordable d’ordre 4.

Mais aussi la caractérisation complète du composant, qui devra conduire à l’algorithme de programmation du filtre (sur une plateforme Arduino). Deux variantes du composant sont en cours de fabrication, l’une sur plateforme Silicium, et l’autre sur plateforme Nitrure de Silicium.

Enfin, votre stage comprendra également un volet théorique visant à comparer ces 2 technologies, notamment en terme d’impact des effets non linéaires.     

Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
Thales;https://www.thalesgroup.com/fr;927;Ingenieur DevOps (H/F);CDI ;;;;;"QUI SOMMES-NOUS ?

Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d’importance vitale. Ces activités, qui regroupent radiocommunications, réseaux, systèmes de protection, systèmes d’information critiques et cybersécurité, répondent aux besoins de marchés où l’utilisation des nouvelles technologies numériques est déterminante. Thales intervient tout au long de la chaîne de valeur, des équipements aux systèmes en passant par le soutien logistique et les services associés.Sur le site de Vélizy le Bois, les équipes développent et installent des systèmes d’information de commandement et de renseignement, systèmes de sécurité nationale et solutions de sécurité pour les villes, les États et les infrastructures critiques, ainsi que des systèmes d’information critiques et de cybersécurité. Le site abrite également les équipes en charge les solutions de supervision et de signalisation ferroviaire pour les grandes lignes et les réseaux de trafic urbain.

Le Centre de compétences Software Factory & Cloud recherche un/une Ingénieur DevOps (H/F)
Basé(e) à Vélizy.

QUI ETES-VOUS ?

De formation ingénieur, vous disposez d’une expérience solide en intégration continue (SVN ou GIT, Jenkins, Maven, …) et en langage de scripts (shell, python). Vous avez une connaissance sur les outils de déploiement (ansible, puppet...)

Vous êtes reconnu(e) pour vos capacités à échanger avec plusieurs métiers. Vous avez de bonnes capacités d’analyse et de pédagogie. Autonome, dynamique et proactif, vous souhaitez évoluer au sein d’équipes passionnées par l’intégration des technologies nouvelles aux services des métiers de nos clients. Vous êtes également attiré par l’innovation, vous évoluerez au sein d’un Groupe à vocation internationale dans un environnement innovant et de haute technicité.

CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :

Au sein du centre de compétences Software Factory & Cloud de Vélizy, vous êtes impliqués dans des projets clients ou des projets au forfait. Pour cela,  en tant qu’ingénieur expérimenté dans le domaine DevOps,  vous concevez et vous gérez les automatismes du système d'information : intégration, déploiement en continu. Vous interviendrez également sur des réponses à appels d’offre concernant l’analyse des besoins et le chiffrage technique.

En nous rejoignant, vous vous verrez confier les missions suivantes :

- Garantir l'intégrité permanente des automatismes au regard des évolutions des produits.

- Préconiser des choix techniques en vue d'assurer la cohérence de ces évolutions et conseiller sur l'utilisation et les implémentations possibles dans l'automatisation du système d'information.

- Participer aux mises en production et aux investigations d'incident de production.

- Contribuer au déploiement des pratiques DevOps

- Former et accompagner les équipes de développement

- Participer aux avants ventes dans son domaine de compétences : analyse des besoins et contribution aux chiffrages de la partie technique.


La perspective de rejoindre un Groupe innovant vous motive ? Alors rejoignez-nous en postulant à cette offre.

Vous souhaitez en savoir plus sur les activités Systèmes d'information et de communication sécurisés ? Cliquez ici.

Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
Thales;https://www.thalesgroup.com/fr;928;Ingénieur.e Cybersécurité - Brique de chiffrement IPSEC sur Smartphone Linux F/H – Stage;Stage ;;;;;"QUI SOMMES-NOUS ?

Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d’importance vitale. Ces activités, qui regroupent radiocommunications, réseaux, systèmes de protection, systèmes d’information critiques et cybersécurité, répondent aux besoins de marchés où l’utilisation des nouvelles technologies numériques est déterminante. Thales intervient tout au long de la chaîne de valeur, des équipements aux systèmes en passant par le soutien logistique et les services associés.À Cholet, Thales conçoit, développe, intègre, qualifie, industrialise, produit, déploie et maintient en condition opérationnelle des équipements de radiocommunications et des réseaux tactiques militaires, des équipements et systèmes de guerre électronique ainsi que des solutions de sécurité des systèmes d’informations (cryptage, réseaux, etc). C’est également à Cholet que Thales intègre, industrialise et produit les stations sol des réseaux de communication par satellites.

QUI ETES-VOUS ?

Vous êtes étudiant(e) en dernière année de cycle d’ingénieur, ou formation équivalente, à dominante Electronique ?

Vous avez un bon niveau de maîtrise du langage C ?

Vous êtes familier avec l’environnement Linux et les toolchains ?

Vous avez des connaissances en protocoles de sécurité et chiffrement de données ?

Vous êtes autonome et rigoureux(se) ?

Vous êtes reconnu(e) pour votre sens de la communication ?

Vous êtes doté(e) d’un bon sens de l’analyse et vous montrez curieux(se) ?

Alors ce qui suit va vous intéresser !

CE QUE NOUS POUVONS ACCOMPLIR  ENSEMBLE :

Au sein du domaine Sécurité des Technologies de l'Information (ITS), vous intégrerez le Laboratoire des Terminaux Sécurisés (LTS) qui développe des solutions innovantes de sécurité pour la protection des communications réseau.

En collaboration avec les équipes R&D et validation, vous étudierez et développerez un prototype de chiffreur IPSec ayant pour but de protéger les communications sur différentes interfaces réseaux (WIFI, ethernet, mobile).

Vous vous appuierez pour cela sur une plateforme maitrisée de type smartphone Linux déjà existante afin de réaliser un prototype utilisable qui sera testé et validé fonctionnellement.

 

Vous aurez pour principales missions :

Réaliser une étude sur le portage d’une brique logicielle chiffreur IPSec déjà existante sur un smartphone maitrisé ;

Réaliser un prototype basé sur cette plateforme smartphone ;

Tester et valider le prototype (utilisation, sécurité, débit).

Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
Thales;https://www.thalesgroup.com/fr;929;Ingénieur.e portage et sécurisation d’un OS en langage RUST F/H – Stage;Stage ;;;;;"QUI SOMMES-NOUS ?

Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d’importance vitale. Ces activités, qui regroupent radiocommunications, réseaux, systèmes de protection, systèmes d’information critiques et cybersécurité, répondent aux besoins de marchés où l’utilisation des nouvelles technologies numériques est déterminante. Thales intervient tout au long de la chaîne de valeur, des équipements aux systèmes en passant par le soutien logistique et les services associés.À Cholet, Thales conçoit, développe, intègre, qualifie, industrialise, produit, déploie et maintient en condition opérationnelle des équipements de radiocommunications et des réseaux tactiques militaires, des équipements et systèmes de guerre électronique ainsi que des solutions de sécurité des systèmes d’informations (cryptage, réseaux, etc). C’est également à Cholet que Thales intègre, industrialise et produit les stations sol des réseaux de communication par satellites.

QUI ETES-VOUS ?

Vous êtes étudiant(e) en dernière année de cycle d’ingénieur, ou formation équivalente, à dominante Electronique ?

Vous avez un bon niveau de maîtrise des langages RUST, C et C++ ?

Vous êtes familier avec les systèmes d’exploitation (principes, multitasking, MMU, écriture de drivers) ?

Vous avez des connaissances en sécurité ?

Vous êtes autonome et rigoureux(se) ?

Vous êtes reconnu(e) pour votre sens de la communication ?

Vous êtes doté(e) d’un bon sens de l’analyse et vous montrez curieux(se) ?

Alors ce qui suit va vous intéresser !

CE QUE NOUS POUVONS ACCOMPLIR  ENSEMBLE :

Au sein du domaine Sécurité des Technologies de l'Information (ITS), vous intégrez un laboratoire qui développe des solutions sécurisées embarquées.

En rejoignant l’équipe, vous aurez pour principales missions :

Mettre en œuvre d’un OS temps réel basé sur RUST (Tock) ;

Réaliser le portage de Tock vers un processeur basé sur une MMU, y compris les drivers associés ;

Étudier les avantages du langage RUST par rapport à nos langages traditionnels (C, C++) ;

Étudier la possibilité d’exécuter des taches C et des taches RUST ensemble dans une même config applicative.

Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
Thales;https://www.thalesgroup.com/fr;930;Security Partner expérimenté.e-H/F;CDI ;;;;;"QUI SOMMES-NOUS ?

L’activité avionique rassemble 10 000 collaborateurs qui œuvrent à fournir des équipements et des systèmes de pointe pour toute la chaîne de l’aéronautique civile et militaire.Le site de Toulouse regroupe deux activités principales : l’une en charge de développer et commercialiser des solutions et équipements pour avions et hélicoptères (cockpits, solutions pour cabines, systèmes de missions civiles et militaires, et offres de services associées) ; l’autre , le centre d’Air Traffic Management (ATM), pôle d’expertise historique des systèmes de gestion du trafic aérien.

Thales Avionics recherche pour le Centre de Compétence digitale (DCC) de la business line FLX un.e Ingénieur.e cybersécurité développements digitaux-H/F,  basé.é à Toulouse, Basso Combo.

QUI ETES VOUS ?

Vous êtes diplômé.e d’une école d’ingénieur ? Spécialisé.e en expertise réseau et sécurité ?

Vous avez de l’expérience en cybersécurité ? Et dans des projets de sécurisation de Cloud (Azure, AWS) et des containers ?           

Vous avez  une vision business des risques Cyber (avec prise de recul par rapport à la technique) et partager cette vision auprès du business (vulgarisation) ?

Vous avez une bonne connaissance de la sécurité des systèmes d'information et des menaces associées ?

Vous êtes doté.e d’une bonne compréhension des concepts d'infrastructures réseaux et systèmes (virtualisation, firewall, IDS/IPS) ?

Vous faites preuves d’une bonne analyse des risques et de solutions digitales ?

Des connaissances en 'Continuous delivery', méthode agile, DevSecOps en général et les outils attenants et des Normes ISO 2700x ou équivalent sont appréciées

Vous parlez couramment anglais et vous avez l’habitude de travailler dans cette langue ?

On vous reconnaît pour votre motivation et votre dynamisme ?  
Vous possédez un excellent relationnel ?

CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :

En tant que Security Partner, vous aurez un rôle clé au sein de la transformation digitale de FLX et vous vous verrez confier les missions suivantes :

• Vous contribuez au développement de produit et services digitaux dans les équipes du DCC et de FLX

• Vous définissez les user stories sécurité (analyse de risque, identification des mesures de sécurité organisationnelles et techniques à mettre en œuvre) dans les backlogs produits et supporter les équipes dans le développement et le déploiement de ces user stories

• Vous êtes en Interface avec le DCC et les acteurs externes de la cybersécurité notamment avec la Thales Digital Factory

• Vous développez une approche pro-active et pédagogique pour sensibiliser les équipes aux risques liés au Digital

•Vous réalisez ou pilotez les audits de sécurités (dont pentests) des projets digitaux dans FLX

• Vous assurer l’interface avec le pôle Cybersécurité de Thales AVS pour mettre en place des solutions performantes, cohérentes et harmonisées

• Vous contribuez à la mise en place de la gouvernance technique des solutions de sécurité SecOps ainsi que des bonnes pratiques associées afin d’opérer les services et produits digitaux de FLX.

• Vous gérez et menez les investigations nécessaires sur les remontées d’alertes sécurité concernant les projets digitaux développés et opérés au sein de la GBU

• Vous contribuez à l'évolution du process sécurité dans une démarche d’amélioration continue

Nous saurons vous accueillir dans une équipe passionnée, dynamique et responsabilisée

Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
Thales;https://www.thalesgroup.com/fr;931;Ingénieur Evaluation Linux embarqué YOCTO H/F – Stage;Stage ;;;;;"QUI SOMMES-NOUS ?

L’activité Systèmes terrestres et aériens conçoit des systèmes, des équipements, des capteurs et des services pour le contrôle du trafic aérien civil et militaire, la défense aérienne ainsi que le combat naval et terrestre.Le site d’Élancourt rassemble la totalité des moyens de développement, d’intégration et de tests des activités optroniques, électroniques de missiles et lasers intenses de Thales en France. Plus de 1 700 collaborateurs fournissent des équipements et systèmes qui apportent des avantages opérationnels décisifs lors des opérations terrestres, navales et aériennes, de jour comme de nuit, sous tous les climats, dans tous les environnements.

QUI ETES VOUS ?

Etudiant ingénieur en dernière année ou équivalent, vous avez acquis de solides connaissances en langage C/C++, environnement Linux, développement logiciel embarqué temps réel et en anglais.

Curieux et autonome, vous êtes doté d'un bon relationnel et êtes force de proposition technique.

CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :

En nous rejoignant, vous vous verrez confier les missions suivantes :

Dans le cadre du développement de nos futurs produits, nous souhaitons évaluer le passage à la distribution Linux embarqué YOCTO à travers la réalisation d’une maquette d’enregistreur de données embarqué.

Dans ce cadre, vous contribuez vous procédez à l’installation du matériel en laboratoire et des outils de développement, l’installation et la configuration de YOCTO sur la carte embarquée pour réaliser un enregistreur de données, au Benchmark des performances de l’enregistreur, à la démonstration de la maquette d’enregistreur.

Vous étudiez et proposez une solution de déploiement de YOCTO dans nos produits militaires,

Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
Thales;https://www.thalesgroup.com/fr;932;Ingénieur.e prototypage d’une fonction d’évitement terrain automatique - stage - H/F;Stage ;;;;;"QUI SOMMES-NOUS ?

L’activité avionique rassemble 10 000 collaborateurs qui œuvrent à fournir des équipements et des systèmes de pointe pour toute la chaîne de l’aéronautique civile et militaire.Le site de Toulouse regroupe deux activités principales : l’une en charge de développer et commercialiser des solutions et équipements pour avions et hélicoptères (cockpits, solutions pour cabines, systèmes de missions civiles et militaires, et offres de services associées) ; l’autre , le centre d’Air Traffic Management (ATM), pôle d’expertise historique des systèmes de gestion du trafic aérien.

Nous recherchons un.e Stagiaire Ingénieur.e prototypage d’une fonction d’évitement terrain automatique – H/F

Basé.e à Toulouse.

QUI ETES-VOUS ?

Vous êtes en dernière année d’école d’ingénieur ou équivalent avec une spécialisation en informatique ?

Vous avez une première expérience – stage/projet – dans le domaine de l’aéronautique ?

Vous avez des compétences en développement informatique : C/ C++, Python, en Définition / Implémentation Algorithmique et en Performance Aérodynamique (domaine de vol de l'avion) ?

Vous faites preuve de dynamisme, d’une capacité d'adaptation d’un esprit d'initiative et de créativité ?

Vous maîtrisez l’anglais ?

Alors ce poste est fait pour vous !

CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :

De nos jours, le monde aéronautique demande une sécurité des vols accrue et d'autre part une autonomie des systèmes de plus en plus importante (Single pilot, Autonomie, Drones ...)

Dans ce contexte, de nouvelles fonctions de protection Terrain/Obstacle doivent être proposées sur le marché.

Au sein d'un département qui traite de la Sécurité du Vol, dans une équipe de 5 personnes qui gère les fonctions de SURVEILLANCE d'un aéronef, vous participerez à un projet de construction d'une fonction d'évitement automatique de terrain.

Vous  serez intégré.e dans une équipe ""AGILE"", dans laquelle vous partagerez vos réussites et vos difficultés au jour le jour, vous serez de plus immergé.e dans le contexte des autres projets de l'équipe. Vous serez guidé.e  par un Product Design Autority (référend du domaine) et conseillé.e  par des ingénieurs systèmes et logiciel.

L'opportunité est de vivre toutes les étapes du développement amont d’une fonction avionique.

En nous rejoignant, vous vous verrez confier les missions suivantes :

Dans le contexte du vol d'un avion en environnement montagneux, vous devrez construire le prototype d'une fonction d'évitement de terrain automatique.

- Définition des ""Use Case"" qui représentent un danger pour l'avion

- Définition de la stratégie d'évitement du terrain

- Implémentation de la fonction

- Test et validation de la fonction

L'objectif du stage est de mettre à disposition un prototype, évaluable sur un simulateur à partir des Use Case définis.

Les aspects ""human factor"" étant partie intégrante de la faisabilité de la fonction, le prototype sera réalisé dans un environnement le plus représentatif possible (simulateur existant, avec rendu visuel terrain ...)

Ce prototype sera ""mis entre les main"" d'un pilote pour recueillir des commentaires et affiner de design de la fonction.

Une campagne ""performance"" (CPU impact, Response Time ... ) pourra être menée en suivant.

Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
Thales;https://www.thalesgroup.com/fr;933;Ingénieur.e spécialité Mécanique/ H/F - Stage;Stage ;;;;;"QUI SOMMES-NOUS ?

L’activité avionique rassemble 10 000 collaborateurs qui œuvrent à fournir des équipements et des systèmes de pointe pour toute la chaîne de l’aéronautique civile et militaire.Le site de Vélizy conçoit et fabrique des tubes à onde progressive, klystrons, gyrotrons, générateurs, amplificateurs spatiaux, émetteurs défense. Il intervient aussi dans la conception et la maîtrise d’œuvre de sous-systèmes pour les Grandes Infrastructures de Recherche

Dans le cadre des développements de nouvelles briques technologiques, la Direction Technique du site de Vélizy recherche un / une Stagiaire Ingénieur.e spécialité Mécanique/Matériaux H/F - Stage

Basé(e) à Vélizy Villacoublay (78).

  

QUI ETES-VOUS ?

Vous préparez un diplôme d’ingénieur ou de niveau Bac+5 en spécialité mécanique et/ou matériaux ?

Vous détenez des compétences dans la caractérisation de surface et l’électromagnétisme ? ?

Vous êtes curieux.se, autonome et avez un bon relationnel vous permettant une adaptation rapide sur le terrain ?

Vous disposez idéalement d’une première expérience dans un environnement industriel ?

La connaissance de la tribologie et des mesures de rugosité de surface seraient un vrai plus.

Vous vous reconnaissez et avez envie de travailler en équipe ? Alors postulez !!

CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :

Rattaché.e aux ingénieurs matériaux en chargent du développement des études en cours sur de nouvelles briques technologiques et préparant les futurs produits tels que de nouvelles cathodes (klystron, Gyrotron) pour des tubes hyperfréquences. Vous aurez pour principale mission la mise au point du traitement de pièces métalliques par tribofinition.

A ce titre, vous vous verrez confier les missions suivantes :

Déployer les plans de développements définis,
Réaliser les études de faisabilité,
Préparer et exécuter les plans de tests,
Mettre au point le procédé,
Caractériser les surfaces (optique, MEB, etc.),
Effectuer l’analyse des résultats,
Rédiger un rapport de l’étude.

Vous souhaitez en savoir plus sur l’activité Microwave & Imaging Sub-Systems ? Cliquez ici.

Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
